state,city,company
CA,San Jose,Broadcom
CA,Sunnyvale,Broadcom
CA,Irvine,Broadcom
CA,Santa Clara,Broadcom
MA,Andover,Broadcom
CO,Fort Collins,Broadcom
NC,Durham,Broadcom
TX,Austin,Broadcom
CA,Sacramento,Broadcom
AZ,Phoenix,Broadcom
CO,Colorado Springs,Broadcom
GA,Atlanta,Broadcom
PA,King of Prussia,Broadcom
AL,Huntsville,Broadcom
CA,San Mateo,Broadcom
DC,Washington,Broadcom
TX,Dallas,Broadcom
IL,Schaumburg,Broadcom
CA,Oakland,Broadcom
CA,Newark,Broadcom
CA,San Diego,Broadcom
CA,Palo Alto,Broadcom
NC,Raleigh,Broadcom
CA,Petaluma,Broadcom
GA,Norcross,Broadcom
CA,Santa Clara,Apple
NY,New York,Apple
CA,San Francisco,Apple
TX,Austin,Apple
IL,Chicago,Apple
MN,Apple Valley,Apple
CA,Los Angeles,Apple
KY,Louisville,Apple
DE,Wilmington,Apple
GA,Atlanta,Apple
MA,Boston,Apple
WA,Seattle,Apple
MO,Kansas City,Apple
DC,Washington,Apple
SC,Greenville,Apple
CA,Apple Valley,Apple
CA,Sacramento,Apple
TX,Dallas,Apple
CA,San Diego,Apple
TX,Houston,Apple
CA,Palo Alto,Apple
NV,Las Vegas,Apple
PA,Pittsburgh,Apple
CA,San Jose,Apple
NC,Raleigh,Apple
MN,Minneapolis,Apple
SC,Columbia,Apple
AZ,Phoenix,Apple
NC,Charlotte,Apple
FL,Miami,Apple
NV,Reno,Apple
NC,Asheville,Apple
PA,Philadelphia,Apple
OK,Oklahoma City,Apple
SC,Charleston,Apple
VA,Arlington,Apple
OH,Cincinnati,Apple
FL,Orlando,Apple
OH,Columbus,Apple
TN,Nashville,Apple
CO,Denver,Apple
OR,Portland,Apple
IN,Indianapolis,Apple
OK,Tulsa,Apple
TX,Plano,Apple
CA,Cupertino,Apple
VA,Richmond,Apple
CO,Colorado Springs,Apple
UT,Salt Lake City,Apple
MA,Cambridge,Apple
FL,Tampa,Apple
TX,San Antonio,Apple
FL,Jacksonville,Apple
CA,Culver City,Apple
NY,Buffalo,Apple
AZ,Mesa,Apple
CA,Irvine,Apple
CA,Emeryville,Apple
NJ,Cherry Hill,Apple
MO,Saint Louis,Apple
NC,Greensboro,Apple
NC,Durham,Apple
AR,Little Rock,Apple
WA,Bellevue,Apple
AZ,Scottsdale,Apple
CA,Fresno,Apple
MD,Bethesda,Apple
WA,Spokane,Apple
CA,Santa Monica,Apple
ID,Boise,Apple
GA,Augusta,Apple
PA,Horsham,Apple
LA,Baton Rouge,Apple
DE,Newark,Apple
VA,McLean,Apple
VA,Fairfax,Apple
TX,Fort Worth,Apple
CA,Mountain View,Apple
CA,Pleasanton,Apple
WI,Madison,Apple
MD,Columbia,Apple
NY,Albany,Apple
MN,Bloomington,Apple
CO,Boulder,Apple
WA,Tacoma,Apple
CA,Santa Rosa,Apple
VA,Reston,Apple
NV,Henderson,Apple
ME,South Portland,Apple
MI,Novi,Apple
NM,Albuquerque,Apple
NH,Nashua,Apple
NE,Omaha,Apple
AL,Huntsville,Apple
NC,Kinston,Apple
CA,San Mateo,Apple
CA,Bakersfield,Apple
NY,Syracuse,Apple
HI,Honolulu,Apple
AL,Birmingham,Apple
GA,Alpharetta,Apple
AZ,Tucson,Apple
NC,Garner,Apple
AZ,Chandler,Apple
CA,Alameda,Apple
TN,Knoxville,Apple
KY,Lexington-Fayette,Apple
RI,Providence,Apple
CA,Northridge,Apple
OH,Akron,Apple
CO,Broomfield,Apple
CO,Littleton,Apple
VA,Norfolk,Apple
NJ,Atlantic City,Apple
NC,Fayetteville,Apple
MI,Troy,Apple
CA,Redwood City,Apple
CA,San Luis Obispo,Apple
MI,Ann Arbor,Apple
IL,Schaumburg,Apple
CT,Stamford,Apple
CT,Danbury,Apple
MA,Holyoke,Apple
MI,Grand Rapids,Apple
FL,Fort Lauderdale,Apple
CA,Sunnyvale,Apple
CA,Walnut Creek,Apple
SC,Simpsonville,Apple
AK,Anchorage,Apple
IL,Naperville,Apple
MN,Saint Paul,Apple
CA,Palm Desert,Apple
CA,Temecula,Apple
WA,Tukwila,Apple
CA,Escondido,Apple
PA,Newtown Square,Apple
CT,Greenwich,Apple
WA,Lynnwood,Apple
MN,Roseville,Apple
CA,Rancho Cucamonga,Apple
CA,Chula Vista,Apple
TX,Southlake,Apple
NJ,Edison,Apple
MA,Burlington,Apple
FL,Palm Beach Gardens,Apple
SC,Summerville,Apple
CA,Cerritos,Apple
PA,King of Prussia,Apple
NY,White Plains,Apple
NJ,Bridgewater,Apple
FL,Brandon,Apple
FL,Naples,Apple
CA,Costa Mesa,Apple
CA,Berkeley,Apple
CA,Manhattan Beach,Apple
TX,El Paso,Apple
TX,Frisco,Apple
NJ,Freehold,Apple
NJ,Short Hills,Apple
MA,Dedham,Apple
NC,Concord,Apple
CA,Pasadena,Apple
NY,Staten Island,Apple
NJ,Paramus,Apple
MN,Edina,Apple
MA,Peabody,Apple
WA,Vancouver,Apple
CA,Los Gatos,Apple
WI,Wauwatosa,Apple
CA,Santa Barbara,Apple
CO,Lone Tree,Apple
CA,Eureka,Apple
CA,Roseville,Apple
CA,Monterey,Apple
CA,Glendale,Apple
PA,Willow Grove,Apple
PA,Lancaster,Apple
OH,Westlake,Apple
NY,Yonkers,Apple
MD,Towson,Apple
UT,Murray,Apple
NJ,Wayne,Apple
TN,Franklin,Apple
MD,Annapolis,Apple
NJ,Marlton,Apple
TX,Sugar Land,Apple
FL,Wellington,Apple
MA,Chestnut Hill,Apple
LA,Metairie,Apple
FL,Boca Raton,Apple
SC,Spartanburg,Apple
IL,Orland Park,Apple
IL,Northbrook,Apple
NH,Salem,Apple
AZ,Glendale,Apple
CA,Valencia,Apple
MN,Minnetonka,Apple
CA,Modesto,Apple
CA,Simi Valley,Apple
IL,Skokie,Apple
CA,Sherman Oaks,Apple
CT,New Haven,Apple
NY,Victor,Apple
TX,The Woodlands,Apple
TX,Friendswood,Apple
FL,Estero,Apple
NY,Nanuet,Apple
NY,Manhasset,Apple
NY,Lake Grove,Apple
NY,Huntington Station,Apple
NY,Garden City,Apple
NJ,Woodcliff Lake,Apple
TN,Germantown,Apple
NJ,Rockaway,Apple
NJ,Moorestown,Apple
FL,Italia,Apple
IL,Deer Park,Apple
IA,West Des Moines,Apple
FL,Aventura,Apple
MA,Natick,Apple
MA,Hingham,Apple
MA,Braintree,Apple
MI,Clinton Township,Apple
UT,Farmington,Apple
FL,Altamonte Springs,Apple
FL,Miami Beach,Apple
OR,Tigard,Apple
WI,Glendale,Apple
