nextJobOne,state,city,CaBRating,CaVRating,jobId,numJobs,nextJobTwo,CORating,company,SLRating,WLBRating,title,id
contractor,CA,Santa Clara,4.1,4.1,46157,12,area manager,3.4,Apple,3.5,3.3,Data Engineer,0
,CA,Santa Clara,4.1,4.1,213919,11,,3.4,Apple,3.5,3.3,Ios Software Engineer,1
,CA,Santa Clara,4.1,4.1,4279,11,,3.4,Apple,3.5,3.3,Software Engineer,2
senior designer,CA,Santa Clara,4.1,4.1,37257,11,senior product designer,3.4,Apple,3.5,3.3,Product Designer,3
,CA,Santa Clara,4.1,4.1,423921,9,,3.4,Apple,3.5,3.3,CPU Implementation Engineer,4
manager,CA,Santa Clara,4.1,4.1,30513,9,senior systems engineer,3.4,Apple,3.5,3.3,Solutions Engineer,5
senior software engineer,CA,Santa Clara,4.1,4.1,36758,8,lead software engineer,3.4,Apple,3.5,3.3,Embedded Software Engineer,6
,CA,Santa Clara,4.1,4.1,583100,8,,3.4,Apple,3.5,3.3,Icloud Software Engineer,7
,CA,Santa Clara,4.1,4.1,12391,8,,3.4,Apple,3.5,3.3,Site Reliability Engineer,8
,CA,Santa Clara,4.1,4.1,565857,8,,3.4,Apple,3.5,3.3,Full-stack Web Engineer (Software Engineer),9
product development engineer,CA,Santa Clara,4.1,4.1,37253,7,lead engineer,3.4,Apple,3.5,3.3,Product Design Engineer,10
,CA,Santa Clara,4.1,4.1,1018216,6,,3.4,Apple,3.5,3.3,Software Engineer - ICloud,11
,CA,Santa Clara,4.1,4.1,21703,6,,3.4,Apple,3.5,3.3,Graphics Software Engineer,12
software engineer,CA,Santa Clara,4.1,4.1,55668,6,senior qa analyst,3.4,Apple,3.5,3.3,QA Engineer,13
,CA,Santa Clara,4.1,4.1,30333,6,,3.4,Apple,3.5,3.3,Software Development Engineer In Test,14
software quality engineer,CA,Santa Clara,4.1,4.1,30608,5,project manager,3.4,Apple,3.5,3.3,Software QA Engineer,15
,CA,Santa Clara,4.1,4.1,21392,5,,3.4,Apple,3.5,3.3,Genius,16
,CA,Santa Clara,4.1,4.1,99104,5,,3.4,Apple,3.5,3.3,Supplier Quality Engineer (Mechanical),17
,CA,Santa Clara,4.1,4.1,9245,5,,3.4,Apple,3.5,3.3,Apple Expert,18
,CA,Santa Clara,4.1,4.1,586800,5,,3.4,Apple,3.5,3.3,Packaging Testing Engineer,19
,CA,Santa Clara,4.1,4.1,9259,5,,3.4,Apple,3.5,3.3,Apple Specialist,20
,CA,Santa Clara,4.1,4.1,583441,5,,3.4,Apple,3.5,3.3,Integration Design Engineer,21
project manager,CA,Santa Clara,4.1,4.1,62619,5,business development manager,3.4,Apple,3.5,3.3,Business Specialist,22
