nextJobTwo,nextJobOne,jobId,CaBRating,city,id,state,WLBRating,title,company,CaVRating,CORating,numJobs,SLRating
,,43645,4.5,New York,0,NY,3.8,Financial Services Representative I,Facebook,4.5,4.3,27,4.2
customer service representative,head teller,20857,4.5,New York,1,NY,3.8,Teller I,Facebook,4.5,4.3,21,4.2
administrative assistant,sales associate,60233,4.5,New York,2,NY,3.8,Customer Service Representative I,Facebook,4.5,4.3,13,4.2
sales associate,customer service representative,26256,4.5,New York,3,NY,3.8,Store Supervisor,Facebook,4.5,4.3,10,4.2
member service representative,receptionist,33688,4.5,New York,4,NY,3.8,Head Teller,Facebook,4.5,4.3,10,4.2
account manager,executive assistant,134375,4.5,New York,5,NY,3.8,Social Media Coordinator,Facebook,4.5,4.3,9,4.2
,,690002,4.5,New York,6,NY,3.8,Hourly Food Service Worker,Facebook,4.5,4.3,8,4.2
,,214607,4.5,New York,7,NY,3.8,Social Media Associate,Facebook,4.5,4.3,7,4.2
,,57646,4.5,New York,8,NY,3.8,Marketing Coordinator,Facebook,4.5,4.3,7,4.2
legal intern,staff writer,194651,4.5,New York,9,NY,3.8,Social Media Intern,Facebook,4.5,4.3,6,4.2
,,215345,4.5,New York,10,NY,3.8,Outside Sales/Account Representative,Facebook,4.5,4.3,6,4.2
account manager,branch manager,14087,4.5,New York,11,NY,3.8,Mortgage Loan Officer,Facebook,4.5,4.3,5,4.2
,,6538,4.5,New York,12,NY,3.8,CISO,Facebook,4.5,4.3,4,4.2
technical recruiter,office manager,32680,4.5,New York,13,NY,3.8,Recruiter,Facebook,4.5,4.3,4,4.2
,,106933,4.5,New York,14,NY,3.8,IT Audit Compliance Specialist,Facebook,4.5,4.3,4,4.2
,marketing manager,68707,4.5,New York,15,NY,3.8,Social Media Specialist,Facebook,4.5,4.3,4,4.2
intern,administrative assistant,57607,4.5,New York,16,NY,3.8,Marketing Associate,Facebook,4.5,4.3,4,4.2
,,472028,4.5,New York,17,NY,3.8,Data Scientist - Analytics,Facebook,4.5,4.3,4,4.2
,,371530,4.5,New York,18,NY,3.8,Social Media Editor,Facebook,4.5,4.3,4,4.2
marketing associate,volunteer,13314,4.5,New York,19,NY,3.8,Marketing Intern,Facebook,4.5,4.3,4,4.2
,,281350,4.5,New York,20,NY,3.8,Data Strategist,Facebook,4.5,4.3,4,4.2
associate producer,video editor director of photography,47407,4.5,New York,21,NY,3.8,Video Editor,Facebook,4.5,4.3,4,4.2
,,29637,4.5,New York,22,NY,3.8,Investment Banking Summer Analyst,Facebook,4.5,4.3,3,4.2
,,29598,4.5,New York,23,NY,3.8,Investigative Analyst,Facebook,4.5,4.3,3,4.2
,,133146,4.5,New York,24,NY,3.8,Marketing Communications Intern,Facebook,4.5,4.3,3,4.2
business analyst,account manager,13212,4.5,New York,25,NY,3.8,Media Analyst,Facebook,4.5,4.3,3,4.2
