city,id,CaVRating,SLRating,CaBRating,WLBRating,title,numJobs,nextJobOne,jobId,nextJobTwo,CORating,company,state
New York,0,4.4,3.9,4.4,4.1,Android Developer,9,senior software engineer,123068,,4.1,Google,NY
New York,1,4.4,3.9,4.4,4.1,Digital Marketing Analyst,8,,187633,,4.1,Google,NY
New York,2,4.4,3.9,4.4,4.1,Devops Engineer,6,it specialist,244632,software developer,4.1,Google,NY
New York,3,4.4,3.9,4.4,4.1,Digital Media Planner/Buyer,5,,402977,,4.1,Google,NY
New York,4,4.4,3.9,4.4,4.1,Digital Marketing Specialist,5,production manager,156641,owner,4.1,Google,NY
New York,5,4.4,3.9,4.4,4.1,Software Engineer,5,,4279,,4.1,Google,NY
New York,6,4.4,3.9,4.4,4.1,Brand Creative - Copywriter,4,,711905,,4.1,Google,NY
New York,7,4.4,3.9,4.4,4.1,Bookkeeper,4,assistant manager,62610,office manager,4.1,Google,NY
New York,8,4.4,3.9,4.4,4.1,Assistant to the Chair,4,,543451,,4.1,Google,NY
New York,9,4.4,3.9,4.4,4.1,IT Audit Compliance Specialist,4,,106933,,4.1,Google,NY
New York,10,4.4,3.9,4.4,4.1,Marketing Intern,4,volunteer,13314,marketing associate,4.1,Google,NY
New York,11,4.4,3.9,4.4,4.1,Growth Marketing Analyst,4,,582688,,4.1,Google,NY
New York,12,4.4,3.9,4.4,4.1,"Assistant Analyst, Digital Marketing Analytics",4,,385193,,4.1,Google,NY
New York,13,4.4,3.9,4.4,4.1,Data Strategist,4,,281350,,4.1,Google,NY
New York,14,4.4,3.9,4.4,4.1,Search Marketing Strategist,3,,381168,,4.1,Google,NY
New York,15,4.4,3.9,4.4,4.1,Social Media Coordinator,3,executive assistant,134375,account manager,4.1,Google,NY
New York,16,4.4,3.9,4.4,4.1,Enterprise Operations Analyst,3,,921096,,4.1,Google,NY
New York,17,4.4,3.9,4.4,4.1,Data Visualization,3,,708000,,4.1,Google,NY
New York,18,4.4,3.9,4.4,4.1,Paid Search Specialist,3,,65619,,4.1,Google,NY
New York,19,4.4,3.9,4.4,4.1,Office Coordinator,3,administrative assistant,46746,intern,4.1,Google,NY
New York,20,4.4,3.9,4.4,4.1,Freelance Designer,3,graphic artist,38085,web designer,4.1,Google,NY
New York,21,4.4,3.9,4.4,4.1,Social Media Editor,3,,371530,,4.1,Google,NY
New York,22,4.4,3.9,4.4,4.1,QA Automation Engineer Consultant,3,,761172,,4.1,Google,NY
New York,23,4.4,3.9,4.4,4.1,"Software Engineer, Growth",3,,791243,,4.1,Google,NY
Mountain View,24,4.4,3.9,4.4,4.1,Unspecified,9,,14473,,4.1,Google,CA
Mountain View,25,4.4,3.9,4.4,4.1,Web Developer,6,senior software engineer,7967,,4.1,Google,CA
Mountain View,26,4.4,3.9,4.4,4.1,Interaction Designer,6,senior information architect,29390,,4.1,Google,CA
Mountain View,27,4.4,3.9,4.4,4.1,Android Developer,6,senior software engineer,123068,,4.1,Google,CA
Mountain View,28,4.4,3.9,4.4,4.1,Network Software Engineer,5,,6942,,4.1,Google,CA
Mountain View,29,4.4,3.9,4.4,4.1,Cloud Operations Engineer,5,,563553,,4.1,Google,CA
Mountain View,30,4.4,3.9,4.4,4.1,Documentation Specialist,5,manager,36440,,4.1,Google,CA
Mountain View,31,4.4,3.9,4.4,4.1,Marketing Programs Specialist,4,,125251,,4.1,Google,CA
Mountain View,32,4.4,3.9,4.4,4.1,Marketing Operations Analyst,4,,106078,,4.1,Google,CA
Mountain View,33,4.4,3.9,4.4,4.1,Site Reliability Engineer,4,,12391,,4.1,Google,CA
Mountain View,34,4.4,3.9,4.4,4.1,Solution Architect - Business Development,4,,260435,,4.1,Google,CA
Mountain View,35,4.4,3.9,4.4,4.1,Temp Part-time Assistant,4,,702407,,4.1,Google,CA
Mountain View,36,4.4,3.9,4.4,4.1,Retail Design Coordinator,4,,244528,,4.1,Google,CA
Mountain View,37,4.4,3.9,4.4,4.1,Software Developer Intern,4,associate software engineer,30298,systems engineer,4.1,Google,CA
Mountain View,38,4.4,3.9,4.4,4.1,Data Center Analyst,3,,46125,,4.1,Google,CA
Mountain View,39,4.4,3.9,4.4,4.1,Data Analyst,3,software engineer,46094,consultant,4.1,Google,CA
Mountain View,40,4.4,3.9,4.4,4.1,Technical Support Engineer,3,manager,58305,,4.1,Google,CA
Mountain View,41,4.4,3.9,4.4,4.1,Web Developer - JavaScript,3,,352903,,4.1,Google,CA
Mountain View,42,4.4,3.9,4.4,4.1,Transfer Pricing Analyst,3,,53036,,4.1,Google,CA
Mountain View,43,4.4,3.9,4.4,4.1,Technical Marketing Engineer,3,software engineer,58227,consultant,4.1,Google,CA
Mountain View,44,4.4,3.9,4.4,4.1,Privacy Project Engineer,3,,587883,,4.1,Google,CA
Mountain View,45,4.4,3.9,4.4,4.1,SRE - Systems Reliability Engineer,3,,1300901,,4.1,Google,CA
Mountain View,46,4.4,3.9,4.4,4.1,Sales Development Intern,3,,270993,,4.1,Google,CA
Mountain View,47,4.4,3.9,4.4,4.1,Mobile Software Developer,3,,134211,,4.1,Google,CA
Mountain View,48,4.4,3.9,4.4,4.1,Network Test Engineer,3,data network test engineer,91223,optical network test engineer,4.1,Google,CA
Mountain View,49,4.4,3.9,4.4,4.1,Marketing Operations,3,,13342,,4.1,Google,CA
Mountain View,50,4.4,3.9,4.4,4.1,Business Development Representative,3,,62433,,4.1,Google,CA
Mountain View,51,4.4,3.9,4.4,4.1,Designer,3,cad designer,40373,mechanical designer,4.1,Google,CA
Mountain View,52,4.4,3.9,4.4,4.1,Contract Administrator/Paralegal,3,,81643,,4.1,Google,CA
Mountain View,53,4.4,3.9,4.4,4.1,Systems Reliability Engineer,3,,196433,,4.1,Google,CA
Mountain View,54,4.4,3.9,4.4,4.1,PR Intern,3,communications intern,66467,fashion pr intern,4.1,Google,CA
Mountain View,55,4.4,3.9,4.4,4.1,Software Engineer,3,,4279,,4.1,Google,CA
Mountain View,56,4.4,3.9,4.4,4.1,User Interface Engineer,3,senior web developer,53620,xslt architect,4.1,Google,CA
Mountain View,57,4.4,3.9,4.4,4.1,Search Marketing Analyst,3,,44631,,4.1,Google,CA
