CORating,state,nextJobTwo,title,WLBRating,SLRating,id,CaVRating,company,city,nextJobOne,CaBRating,numJobs,jobId
3.5,OR,,Software Engineer,3.6,2.9,0,3.6,Intel,Hillsboro,,3.9,26,4279
3.5,OR,,PTD Module and Integration Device Yield Engineer,3.6,2.9,1,3.6,Intel,Hillsboro,,3.9,24,671712
3.5,OR,,Signal Integrity Engineer,3.6,2.9,2,3.6,Intel,Hillsboro,,3.9,14,11399
3.5,OR,,D1C Manufacturing Technician,3.6,2.9,3,3.6,Intel,Hillsboro,,3.9,13,926474
3.5,OR,,Soc Design Engineer,3.6,2.9,4,3.6,Intel,Hillsboro,,3.9,12,116189
3.5,OR,senior database developer,Software Development Engineer,3.6,2.9,5,3.6,Intel,Hillsboro,lead engineer,3.9,9,30327
3.5,OR,,Undergrad I T Intern,3.6,2.9,6,3.6,Intel,Hillsboro,,3.9,8,14374
3.5,OR,,Research Scientist,3.6,2.9,7,3.6,Intel,Hillsboro,senior scientist,3.9,8,33271
3.5,OR,release software engineer,Software Quality Engineer,3.6,2.9,8,3.6,Intel,Hillsboro,software engineer,3.9,7,30637
3.5,OR,senior software engineer,Component Design Engineer,3.6,2.9,9,3.6,Intel,Hillsboro,analog engineer,3.9,7,51362
3.5,OR,,Process TD Engineer,3.6,2.9,10,3.6,Intel,Hillsboro,,3.9,7,118402
3.5,OR,senior design engineer,Physical Design Engineer,3.6,2.9,11,3.6,Intel,Hillsboro,cad engineer,3.9,6,2497
3.5,OR,,D1C Process Engineer,3.6,2.9,12,3.6,Intel,Hillsboro,,3.9,6,262061
3.5,OR,,Mask Designer,3.6,2.9,13,3.6,Intel,Hillsboro,,3.9,6,57722
3.5,OR,account manager,Packaging Engineer,3.6,2.9,14,3.6,Intel,Hillsboro,logistics specialist,3.9,6,47146
3.5,OR,,Graduate IT Intern,3.6,2.9,15,3.6,Intel,Hillsboro,,3.9,6,459152
3.5,OR,,Software Engineer - Platform,3.6,2.9,16,3.6,Intel,Hillsboro,,3.9,5,232906
3.5,OR,,Design Automation Engineer,3.6,2.9,17,3.6,Intel,Hillsboro,,3.9,5,60750
3.5,OR,,DFT Engineer,3.6,2.9,18,3.6,Intel,Hillsboro,,3.9,5,40583
3.5,OR,,PTD Module and Integration Yield Engineer,3.6,2.9,19,3.6,Intel,Hillsboro,,3.9,5,739107
3.5,OR,,Component Design Engineer/Researcher,3.6,2.9,20,3.6,Intel,Hillsboro,,3.9,5,578784
3.5,OR,field engineer,Network Specialist,3.6,2.9,21,3.6,Intel,Hillsboro,network administrator,3.9,5,6947
3.5,OR,instructional designer,Technical Writer,3.6,2.9,22,3.6,Intel,Hillsboro,technical writer contracted,3.9,4,58559
3.5,OR,,Graduate Software Engineering Intern,3.6,2.9,23,3.6,Intel,Hillsboro,,3.9,4,638803
3.5,OR,,Software Performance Engineer,3.6,2.9,24,3.6,Intel,Hillsboro,,3.9,4,97407
3.5,OR,senior designer,UX Designer,3.6,2.9,25,3.6,Intel,Hillsboro,consultant,3.9,4,825907
3.5,OR,,Emc Engineer,3.6,2.9,26,3.6,Intel,Hillsboro,,3.9,4,85291
3.5,OR,lead software engineer,Embedded Software Engineer,3.6,2.9,27,3.6,Intel,Hillsboro,senior software engineer,3.9,4,36758
3.5,OR,mechanical engineer,CAD Engineer,3.6,2.9,28,3.6,Intel,Hillsboro,mechanical designer,3.9,4,12554
3.5,OR,,Analog Design Engineer,3.6,2.9,29,3.6,Intel,Hillsboro,,3.9,4,24103
3.5,OR,,Silicon Architecture Engineer,3.6,2.9,30,3.6,Intel,Hillsboro,,3.9,4,524011
3.5,OR,,Cloud Solution Engineer,3.6,2.9,31,3.6,Intel,Hillsboro,,3.9,4,609895
3.5,OR,,S/W Quality Assurance Engineer and Tester,3.6,2.9,32,3.6,Intel,Hillsboro,,3.9,4,409971
3.5,OR,project manager,Software Engineer Intern,3.6,2.9,33,3.6,Intel,Hillsboro,programmer intern,3.9,4,4520
3.5,OR,,RET Design Engineer,3.6,2.9,34,3.6,Intel,Hillsboro,,3.9,4,431570
3.5,OR,database systems programmer,Applications Developer,3.6,2.9,35,3.6,Intel,Hillsboro,senior systems analyst,3.9,4,23992
3.5,OR,,Member of Technical Staff BIOS Engineer,3.6,2.9,36,3.6,Intel,Hillsboro,,3.9,4,150923
3.5,OR,,Software Development Engineer In Test,3.6,2.9,37,3.6,Intel,Hillsboro,,3.9,4,30333
3.5,CA,product manager,Applications Engineer,3.6,2.9,38,3.6,Intel,Santa Clara,senior software engineer,3.9,14,8954
3.5,CA,,Research Scientist,3.6,2.9,39,3.6,Intel,Santa Clara,senior scientist,3.9,14,33271
3.5,CA,,Compiler Developer,3.6,2.9,40,3.6,Intel,Santa Clara,,3.9,11,507226
3.5,CA,,Software Engineer,3.6,2.9,41,3.6,Intel,Santa Clara,,3.9,11,4279
3.5,CA,,Hardware Engineer Intern,3.6,2.9,42,3.6,Intel,Santa Clara,,3.9,9,22390
3.5,CA,,Field Applications Engineer,3.6,2.9,43,3.6,Intel,Santa Clara,,3.9,9,32284
3.5,CA,systems engineer,Digital Design Engineer,3.6,2.9,44,3.6,Intel,Santa Clara,rtl verification engineer,3.9,9,41536
3.5,CA,senior software engineer,Component Design Engineer,3.6,2.9,45,3.6,Intel,Santa Clara,analog engineer,3.9,8,51362
3.5,CA,senior developer,Development Engineer,3.6,2.9,46,3.6,Intel,Santa Clara,senior design engineer,3.9,8,55055
3.5,CA,project manager,Software Engineer Intern,3.6,2.9,47,3.6,Intel,Santa Clara,programmer intern,3.9,7,4520
3.5,CA,,Device Engineer,3.6,2.9,48,3.6,Intel,Santa Clara,,3.9,7,40489
3.5,CA,,Systems Validation Engineer,3.6,2.9,49,3.6,Intel,Santa Clara,,3.9,7,20563
3.5,CA,senior field engineer,Test Development Engineer,3.6,2.9,50,3.6,Intel,Santa Clara,systems engineer,3.9,7,58971
3.5,CA,,Optical Engineering Intern,3.6,2.9,51,3.6,Intel,Santa Clara,,3.9,6,680182
3.5,CA,,Software Engineer (MTS),3.6,2.9,52,3.6,Intel,Santa Clara,,3.9,6,126386
3.5,CA,,Graphics Software Engineer,3.6,2.9,53,3.6,Intel,Santa Clara,,3.9,6,21703
3.5,CA,,Design Verification,3.6,2.9,54,3.6,Intel,Santa Clara,,3.9,6,40361
3.5,CA,,Design Verification Engineer,3.6,2.9,55,3.6,Intel,Santa Clara,,3.9,6,40362
3.5,CA,senior database developer,Software Development Engineer,3.6,2.9,56,3.6,Intel,Santa Clara,lead engineer,3.9,6,30327
3.5,CA,,DFT Engineer,3.6,2.9,57,3.6,Intel,Santa Clara,,3.9,5,40583
3.5,CA,software engineer,Data Scientist,3.6,2.9,58,3.6,Intel,Santa Clara,developer,3.9,5,119899
3.5,CA,senior software engineer,Software Intern,3.6,2.9,59,3.6,Intel,Santa Clara,project details,3.9,5,30577
3.5,CA,,Vision Systems Engineer,3.6,2.9,60,3.6,Intel,Santa Clara,,3.9,5,413928
3.5,CA,executive assistant,Project Coordinator,3.6,2.9,61,3.6,Intel,Santa Clara,executive administrative assistant,3.9,5,55558
3.5,CA,,Photonic Design Engineer,3.6,2.9,62,3.6,Intel,Santa Clara,,3.9,5,92050
3.5,CA,senior design engineer,Physical Design Engineer,3.6,2.9,63,3.6,Intel,Santa Clara,cad engineer,3.9,5,2497
3.5,CA,,Software Architect,3.6,2.9,64,3.6,Intel,Santa Clara,director,3.9,5,4780
3.5,CA,,Pre-Si Validation Verification Engineer,3.6,2.9,65,3.6,Intel,Santa Clara,,3.9,4,873289
3.5,CA,staff engineer,FPGA Engineer,3.6,2.9,66,3.6,Intel,Santa Clara,hardware engineer,3.9,4,27257
3.5,CA,,Cloud Solutions Architect,3.6,2.9,67,3.6,Intel,Santa Clara,,3.9,4,161241
3.5,CA,director,Product Marketing Engineer,3.6,2.9,68,3.6,Intel,Santa Clara,technical marketing engineer,3.9,4,61622
