city,SLRating,jobId,id,CORating,nextJobTwo,CaVRating,numJobs,title,company,WLBRating,CaBRating,nextJobOne,state
Redmond,3.4,4279,0,3.7,,3.8,125,Software Engineer,Microsoft,3.7,4.0,,WA
Redmond,3.4,30327,1,3.7,senior database developer,3.8,15,Software Development Engineer,Microsoft,3.7,4.0,lead engineer,WA
Redmond,3.4,62714,2,3.7,project coordinator,3.8,13,Business Administrator,Microsoft,3.7,4.0,science teacher,WA
Redmond,3.4,18550,3,3.7,project manager,3.8,9,Attorney,Microsoft,3.7,4.0,consultant,WA
Redmond,3.4,35572,4,3.7,support engineer,3.8,9,Service Engineer,Microsoft,3.7,4.0,project engineer,WA
Redmond,3.4,6274,5,3.7,administrative assistant,3.8,8,Client Service Associate,Microsoft,3.7,4.0,sales assistant,WA
Redmond,3.4,30333,6,3.7,,3.8,8,Software Development Engineer In Test,Microsoft,3.7,4.0,,WA
Redmond,3.4,12391,7,3.7,,3.8,8,Site Reliability Engineer,Microsoft,3.7,4.0,,WA
Redmond,3.4,7967,8,3.7,,3.8,7,Web Developer,Microsoft,3.7,4.0,senior software engineer,WA
Redmond,3.4,61937,9,3.7,software developer,3.8,7,BI Developer,Microsoft,3.7,4.0,database developer,WA
Redmond,3.4,12367,10,3.7,operations manager business analyst,3.8,7,Business Planner,Microsoft,3.7,4.0,financial analyst,WA
Redmond,3.4,56297,11,3.7,,3.8,7,Receptionist,Microsoft,3.7,4.0,,WA
Redmond,3.4,60210,12,3.7,account manager,3.8,6,Customer Service Representative,Microsoft,3.7,4.0,supervisor,WA
Redmond,3.4,40346,13,3.7,,3.8,6,Design Researcher,Microsoft,3.7,4.0,,WA
New York,3.4,15954,14,3.7,executive assistant,3.8,61,Administrative Assistant,Microsoft,3.7,4.0,executive administrative assistant,NY
New York,3.4,60210,15,3.7,account manager,3.8,20,Customer Service Representative,Microsoft,3.7,4.0,supervisor,NY
New York,3.4,56297,16,3.7,,3.8,20,Receptionist,Microsoft,3.7,4.0,,NY
New York,3.4,8558,17,3.7,,3.8,18,.NET Developer,Microsoft,3.7,4.0,,NY
New York,3.4,62610,18,3.7,office manager,3.8,16,Bookkeeper,Microsoft,3.7,4.0,assistant manager,NY
New York,3.4,64814,19,3.7,contractor,3.8,12,Systems Administrator,Microsoft,3.7,4.0,it consultant,NY
New York,3.4,62731,20,3.7,software engineer,3.8,12,Business Analyst,Microsoft,3.7,4.0,business systems analyst,NY
New York,3.4,15871,21,3.7,intern,3.8,12,Admin Assistant,Microsoft,3.7,4.0,clerical assistant,NY
New York,3.4,52481,22,3.7,,3.8,11,Network Engineer,Microsoft,3.7,4.0,it manager,NY
New York,3.4,26561,23,3.7,,3.8,11,Systems Engineer,Microsoft,3.7,4.0,senior software engineer,NY
New York,3.4,46844,24,3.7,receptionist,3.8,11,Part Time Teller,Microsoft,3.7,4.0,head teller,NY
New York,3.4,43960,25,3.7,controller,3.8,10,Financial Analyst,Microsoft,3.7,4.0,project manager,NY
New York,3.4,5361,26,3.7,senior staff accountant,3.8,10,Staff Accountant,Microsoft,3.7,4.0,financial analyst,NY
New York,3.4,161241,27,3.7,,3.8,10,Cloud Solutions Architect,Microsoft,3.7,4.0,,NY
New York,3.4,41824,28,3.7,,3.8,9,Premier Field Engineer,Microsoft,3.7,4.0,,NY
New York,3.4,15349,29,3.7,accounts payable specialist,3.8,9,Accounts Payable Clerk,Microsoft,3.7,4.0,office manager,NY
New York,3.4,6274,30,3.7,administrative assistant,3.8,9,Client Service Associate,Microsoft,3.7,4.0,sales assistant,NY
New York,3.4,705989,31,3.7,,3.8,9,Patient Accounts Rep,Microsoft,3.7,4.0,,NY
New York,3.4,57919,32,3.7,customer service representative,3.8,9,Medical Assistant,Microsoft,3.7,4.0,patient care technician,NY
New York,3.4,39418,33,3.7,graphic,3.8,8,Graphic Designer,Microsoft,3.7,4.0,freelance designer,NY
New York,3.4,62818,34,3.7,litigation secretary,3.8,8,Legal Secretary,Microsoft,3.7,4.0,executive legal secretary,NY
New York,3.4,15369,35,3.7,sales associate,3.8,8,Accounts Receivable Clerk,Microsoft,3.7,4.0,accounting clerk,NY
New York,3.4,26279,36,3.7,consultant,3.8,7,Systems Analyst,Microsoft,3.7,4.0,software engineer,NY
New York,3.4,4279,37,3.7,,3.8,7,Software Engineer,Microsoft,3.7,4.0,,NY
New York,3.4,58595,38,3.7,service technician,3.8,7,Technician,Microsoft,3.7,4.0,intern,NY
New York,3.4,46727,39,3.7,research assistant,3.8,7,Office Assistant,Microsoft,3.7,4.0,customer service representative,NY
New York,3.4,46721,40,3.7,customer service representative,3.8,7,Office Administrator,Microsoft,3.7,4.0,receptionist,NY
New York,3.4,62046,41,3.7,manager,3.8,7,Billing Specialist,Microsoft,3.7,4.0,staff accountant,NY
New York,3.4,62044,42,3.7,staff accountant,3.8,7,Billing Representative,Microsoft,3.7,4.0,asst manager,NY
New York,3.4,29301,43,3.7,adjunct professor,3.8,7,Instructor,Microsoft,3.7,4.0,research assistant,NY
New York,3.4,47020,44,3.7,payroll analyst,3.8,7,Payroll Administrator,Microsoft,3.7,4.0,office manager,NY
New York,3.4,7967,45,3.7,,3.8,7,Web Developer,Microsoft,3.7,4.0,senior software engineer,NY
New York,3.4,99413,46,3.7,,3.8,7,Tax Consultant/Accountant,Microsoft,3.7,4.0,,NY
New York,3.4,11716,47,3.7,net developer,3.8,7,Sharepoint Developer,Microsoft,3.7,4.0,software developer,NY
New York,3.4,186553,48,3.7,,3.8,6,PFE,Microsoft,3.7,4.0,,NY
New York,3.4,30498,49,3.7,project manager,3.8,6,Solutions Consultant,Microsoft,3.7,4.0,sales engineer,NY
New York,3.4,61011,50,3.7,software engineer,3.8,6,Database Administrator,Microsoft,3.7,4.0,database developer,NY
New York,3.4,507160,51,3.7,,3.8,6,Entry Level Recruitment Consultant,Microsoft,3.7,4.0,,NY
Washington,3.4,11716,52,3.7,net developer,3.8,37,Sharepoint Developer,Microsoft,3.7,4.0,software developer,DC
Washington,3.4,64814,53,3.7,contractor,3.8,36,Systems Administrator,Microsoft,3.7,4.0,it consultant,DC
Washington,3.4,62731,54,3.7,software engineer,3.8,34,Business Analyst,Microsoft,3.7,4.0,business systems analyst,DC
Washington,3.4,26561,55,3.7,,3.8,28,Systems Engineer,Microsoft,3.7,4.0,senior software engineer,DC
Washington,3.4,43960,56,3.7,controller,3.8,21,Financial Analyst,Microsoft,3.7,4.0,project manager,DC
Washington,3.4,15954,57,3.7,executive assistant,3.8,21,Administrative Assistant,Microsoft,3.7,4.0,executive administrative assistant,DC
Washington,3.4,12161,58,3.7,project manager,3.8,20,Budget Analyst,Microsoft,3.7,4.0,senior financial analyst,DC
Washington,3.4,8558,59,3.7,,3.8,19,.NET Developer,Microsoft,3.7,4.0,,DC
Washington,3.4,51535,60,3.7,director,3.8,18,Consultant,Microsoft,3.7,4.0,senior software engineer,DC
Washington,3.4,9849,61,3.7,junior level intelligence analyst,3.8,16,Intelligence Analyst,Microsoft,3.7,4.0,sigint analyst,DC
Washington,3.4,4279,62,3.7,,3.8,15,Software Engineer,Microsoft,3.7,4.0,,DC
Washington,3.4,29284,63,3.7,contractor,3.8,15,Instructional Designer,Microsoft,3.7,4.0,instructional design consultant,DC
Washington,3.4,38623,64,3.7,imagery analyst,3.8,15,Geospatial Analyst,Microsoft,3.7,4.0,gis analyst,DC
Washington,3.4,6621,65,3.7,web,3.8,14,Multimedia Designer,Microsoft,3.7,4.0,senior graphic designer,DC
Washington,3.4,11711,66,3.7,contractor,3.8,14,SharePoint Administrator,Microsoft,3.7,4.0,sharepoint administrator contractor,DC
Washington,3.4,496048,67,3.7,,3.8,14,Microsoft Exchange Engineer,Microsoft,3.7,4.0,,DC
Washington,3.4,41824,68,3.7,,3.8,13,Premier Field Engineer,Microsoft,3.7,4.0,,DC
Washington,3.4,109456,69,3.7,,3.8,13,Microsoft Exchange Administrator,Microsoft,3.7,4.0,,DC
Washington,3.4,46094,70,3.7,consultant,3.8,13,Data Analyst,Microsoft,3.7,4.0,software engineer,DC
Washington,3.4,186553,71,3.7,,3.8,12,PFE,Microsoft,3.7,4.0,,DC
Washington,3.4,62650,72,3.7,senior systems analyst,3.8,12,Business Systems Analyst,Microsoft,3.7,4.0,contractor,DC
Washington,3.4,61419,73,3.7,contractor,3.8,11,Program Analyst,Microsoft,3.7,4.0,business analyst,DC
Washington,3.4,39418,74,3.7,graphic,3.8,11,Graphic Designer,Microsoft,3.7,4.0,freelance designer,DC
Washington,3.4,61011,75,3.7,software engineer,3.8,11,Database Administrator,Microsoft,3.7,4.0,database developer,DC
Washington,3.4,30270,76,3.7,,3.8,11,Software Developer,Microsoft,3.7,4.0,senior software engineer,DC
Washington,3.4,18039,77,3.7,procurement analyst,3.8,11,Acquisition Analyst,Microsoft,3.7,4.0,logistics analyst,DC
Washington,3.4,16548,78,3.7,c4isenior new equipment tester,3.8,11,Imagery Analyst,Microsoft,3.7,4.0,systems analyst,DC
Washington,3.4,5361,79,3.7,senior staff accountant,3.8,11,Staff Accountant,Microsoft,3.7,4.0,financial analyst,DC
Washington,3.4,28736,80,3.7,president,3.8,11,Secretary,Microsoft,3.7,4.0,vice president,DC
Washington,3.4,52481,81,3.7,,3.8,10,Network Engineer,Microsoft,3.7,4.0,it manager,DC
Washington,3.4,120118,82,3.7,,3.8,10,Payroll Processor,Microsoft,3.7,4.0,internal auditor,DC
Washington,3.4,55507,83,3.7,consultant,3.8,10,Project Analyst,Microsoft,3.7,4.0,senior analyst,DC
Washington,3.4,51699,84,3.7,,3.8,10,Consumer Product Advisor,Microsoft,3.7,4.0,,DC
Chicago,3.4,44836,85,3.7,administrative assistant,3.8,129,Sales Representative,Microsoft,3.7,4.0,sales associate,IL
Chicago,3.4,15954,86,3.7,executive assistant,3.8,16,Administrative Assistant,Microsoft,3.7,4.0,executive administrative assistant,IL
Chicago,3.4,8558,87,3.7,,3.8,12,.NET Developer,Microsoft,3.7,4.0,,IL
Chicago,3.4,62731,88,3.7,software engineer,3.8,12,Business Analyst,Microsoft,3.7,4.0,business systems analyst,IL
Chicago,3.4,62046,89,3.7,manager,3.8,11,Billing Specialist,Microsoft,3.7,4.0,staff accountant,IL
Chicago,3.4,55558,90,3.7,executive assistant,3.8,11,Project Coordinator,Microsoft,3.7,4.0,executive administrative assistant,IL
Chicago,3.4,60210,91,3.7,account manager,3.8,10,Customer Service Representative,Microsoft,3.7,4.0,supervisor,IL
Chicago,3.4,67335,92,3.7,medical biller manager,3.8,10,Cash Applications Specialist,Microsoft,3.7,4.0,office manager,IL
Chicago,3.4,64814,93,3.7,contractor,3.8,10,Systems Administrator,Microsoft,3.7,4.0,it consultant,IL
Chicago,3.4,174679,94,3.7,,3.8,8,Applications Development Technical Specialist,Microsoft,3.7,4.0,,IL
Chicago,3.4,30270,95,3.7,,3.8,8,Software Developer,Microsoft,3.7,4.0,senior software engineer,IL
Chicago,3.4,46727,96,3.7,research assistant,3.8,7,Office Assistant,Microsoft,3.7,4.0,customer service representative,IL
Chicago,3.4,51699,97,3.7,,3.8,7,Consumer Product Advisor,Microsoft,3.7,4.0,,IL
Chicago,3.4,5225,98,3.7,,3.8,7,SQL Database Administrator,Microsoft,3.7,4.0,,IL
