company,city,nextJobOne,state,title,id,SLRating,numJobs,CaVRating,nextJobTwo,WLBRating,CORating,CaBRating,jobId
Oracle,New York,senior developer,NY,Java Developer,0,2.9,47,3.2,senior software engineer,3.7,3.2,3.1,3566
Oracle,New York,senior programmer,NY,Programmer Analyst,1,2.9,16,3.2,project manager,3.7,3.2,3.1,37136
Oracle,New York,software engineer,NY,Systems Analyst,2,2.9,13,3.2,consultant,3.7,3.2,3.1,26279
Oracle,New York,,NY,Software Engineer,3,2.9,13,3.2,,3.7,3.2,3.1,4279
Oracle,New York,,NY,Sr Programmer Analyst,4,2.9,11,3.2,,3.7,3.2,3.1,723974
Oracle,New York,oracle database administrator,NY,oracle dba,5,2.9,11,3.2,developer,3.7,3.2,3.1,1044207
Oracle,New York,database developer,NY,SQL Developer,6,2.9,10,3.2,software developer,3.7,3.2,3.1,5226
Oracle,New York,,NY,Oracle PL/SQL Developer,7,2.9,9,3.2,,3.7,3.2,3.1,46556
Oracle,New York,software development engineer,NY,Systems Software Engineer,8,2.9,8,3.2,senior systems engineer,3.7,3.2,3.1,20522
Oracle,New York,,NY,QlikView Developer,9,2.9,8,3.2,,3.7,3.2,3.1,508494
Oracle,New York,,NY,C++ Programmer,10,2.9,8,3.2,,3.7,3.2,3.1,12488
Oracle,New York,database developer,NY,Database Administrator,11,2.9,7,3.2,software engineer,3.7,3.2,3.1,61011
Oracle,New York,data,NY,Data Modeler,12,2.9,7,3.2,data and process analyst,3.7,3.2,3.1,46371
Oracle,New York,,NY,Software Development Architect,13,2.9,6,3.2,,3.7,3.2,3.1,67192
Oracle,New York,,NY,Sr Financial Analyst,14,2.9,6,3.2,,3.7,3.2,3.1,695535
Oracle,New York,etl informatica developer,NY,ETL Developer,15,2.9,6,3.2,datastage developer,3.7,3.2,3.1,31667
Oracle,New York,,NY,Campus Coordinator,16,2.9,6,3.2,,3.7,3.2,3.1,131344
Oracle,New York,staff consultant developer,NY,Staff Consultant,17,2.9,6,3.2,software engineer,3.7,3.2,3.1,31332
Oracle,New York,,NY,Brand Journalist,18,2.9,6,3.2,,3.7,3.2,3.1,704691
Oracle,New York,senior software engineer,NY,Software Developer,19,2.9,6,3.2,,3.7,3.2,3.1,30270
Oracle,Atlanta,senior developer,GA,Java Developer,20,2.9,21,3.2,senior software engineer,3.7,3.2,3.1,3566
Oracle,Atlanta,software development engineer,GA,Systems Software Engineer,21,2.9,13,3.2,senior systems engineer,3.7,3.2,3.1,20522
Oracle,Atlanta,oracle database administrator,GA,oracle dba,22,2.9,8,3.2,developer,3.7,3.2,3.1,1044207
Oracle,Atlanta,,GA,PL/SQL Developer,23,2.9,8,3.2,,3.7,3.2,3.1,125486
Oracle,Atlanta,,GA,Oracle Functional Analyst,24,2.9,8,3.2,,3.7,3.2,3.1,110107
Oracle,Atlanta,,GA,.NET Developer,25,2.9,7,3.2,,3.7,3.2,3.1,8558
Oracle,Atlanta,,GA,ATG Developer,26,2.9,6,3.2,,3.7,3.2,3.1,234581
Oracle,Atlanta,,GA,Java Software Developer,27,2.9,6,3.2,,3.7,3.2,3.1,3578
