nextJobOne,company,CaBRating,state,CaVRating,id,city,CORating,nextJobTwo,SLRating,WLBRating,similarBLSSalary,title,jobId,similarBLSJob,numJobs
,Google,4.4,MI,4.4,3521,Ypsilanti,4.1,,3.9,4.1,93250,"Information Technology Residency Program, University Graduate (Fixed Term Employee)",920703,Information Security Analysts,1
sales representative,Google,4.4,MI,4.4,3523,Ypsilanti,4.1,independent contractor,3.9,4.1,93250,Inside Sales Rep,446897,Information Security Analysts,1
,Google,4.4,MI,4.4,3525,Ypsilanti,4.1,,3.9,4.1,93250,Paid Search Analyst,47187,Information Security Analysts,1
,Google,4.4,NY,4.4,5309,Yonkers,4.1,,3.9,4.1,93250,Growth Marketing Analyst,582688,Information Security Analysts,4
intern,Google,4.4,IL,4.4,7461,Woodridge,4.1,recruiting coordinator,3.9,4.1,93250,Human Resources Coordinator,34156,Information Security Analysts,2
,Google,4.4,CA,4.4,1959,Woodland Hills,4.1,,3.9,4.1,93250,Digital Analyst,41521,Information Security Analysts,4
,Google,4.4,CA,4.4,1968,Woodland Hills,4.1,,3.9,4.1,93250,Marketing Automation Specialist,500719,Information Security Analysts,3
,Google,4.4,CA,4.4,1973,Woodland Hills,4.1,,3.9,4.1,93250,Financial Analyst FPA,738887,Information Security Analysts,2
,Google,4.4,NJ,4.4,3878,Woodcliff Lake,4.1,,3.9,4.1,93250,Growth Marketing Analyst,582688,Information Security Analysts,4
account manager,Google,4.4,MI,4.4,16996,Wixom,4.1,business analyst,3.9,4.1,93250,Media Analyst,13212,Information Security Analysts,3
,Google,4.4,GA,4.4,15404,Winder,4.1,,3.9,4.1,93250,Search Engine Marketing (SEM) Analyst,126029,Information Security Analysts,4
,Google,4.4,GA,4.4,15405,Winder,4.1,,3.9,4.1,93250,Digital Analyst,41521,Information Security Analysts,4
,Google,4.4,GA,4.4,15413,Winder,4.1,,3.9,4.1,93250,Search Engine Analyst,192199,Information Security Analysts,3
,Google,4.4,GA,4.4,15417,Winder,4.1,,3.9,4.1,93250,Performance Specialist,1571,Information Security Analysts,2
security officer,Google,4.4,DE,4.4,2239,Wilmington,4.1,laborer,3.9,4.1,93250,Security,44297,Information Security Analysts,1
